Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2017,04,10,9.0,1,N
IDCJAC0011,086338,2017,04,11,12.3,1,N
IDCJAC0011,086338,2017,04,12,10.8,1,N
IDCJAC0011,086338,2017,04,13,10.9,1,N
IDCJAC0011,086338,2017,04,14,13.0,1,N
IDCJAC0011,086338,2017,04,15,11.8,1,N
IDCJAC0011,086338,2017,04,16,9.9,1,N
IDCJAC0011,086338,2017,04,17,11.1,1,N
IDCJAC0011,086338,2017,04,18,9.5,1,N
IDCJAC0011,086338,2017,04,19,13.0,1,N
IDCJAC0011,086338,2017,04,20,14.6,1,N
IDCJAC0011,086338,2017,04,21,16.5,1,N
IDCJAC0011,086338,2017,04,22,16.9,1,N
IDCJAC0011,086338,2017,04,23,14.4,1,N
IDCJAC0011,086338,2017,04,24,15.9,1,N
IDCJAC0011,086338,2017,04,25,16.2,1,N
IDCJAC0011,086338,2017,04,26,10.1,1,N
IDCJAC0011,086338,2017,04,27,8.3,1,N
IDCJAC0011,086338,2017,04,28,9.4,1,N
IDCJAC0011,086338,2017,04,29,14.9,1,N
IDCJAC0011,086338,2017,04,30,13.6,1,N
IDCJAC0011,086338,2017,05,01,13.6,1,Y
IDCJAC0011,086338,2017,05,02,10.4,1,Y
IDCJAC0011,086338,2017,05,03,7.4,1,Y
IDCJAC0011,086338,2017,05,04,5.8,1,Y
IDCJAC0011,086338,2017,05,05,6.2,1,Y
IDCJAC0011,086338,2017,05,06,9.6,1,Y
IDCJAC0011,086338,2017,05,07,8.9,1,Y
IDCJAC0011,086338,2017,05,08,10.1,1,Y
IDCJAC0011,086338,2017,05,09,10.9,1,Y
IDCJAC0011,086338,2017,05,10,8.1,1,Y
IDCJAC0011,086338,2017,05,11,6.1,1,Y
IDCJAC0011,086338,2017,05,12,5.9,1,Y
IDCJAC0011,086338,2017,05,13,8.4,1,Y
IDCJAC0011,086338,2017,05,14,6.4,1,Y
IDCJAC0011,086338,2017,05,15,6.3,1,Y
IDCJAC0011,086338,2017,05,16,5.6,1,Y
IDCJAC0011,086338,2017,05,17,7.6,1,Y
IDCJAC0011,086338,2017,05,18,10.7,1,Y
IDCJAC0011,086338,2017,05,19,10.2,1,Y
IDCJAC0011,086338,2017,05,20,10.2,1,Y
IDCJAC0011,086338,2017,05,21,10.8,1,Y
IDCJAC0011,086338,2017,05,22,10.4,1,Y
IDCJAC0011,086338,2017,05,23,12.8,1,Y
IDCJAC0011,086338,2017,05,24,11.7,1,Y
IDCJAC0011,086338,2017,05,25,13.7,1,Y
IDCJAC0011,086338,2017,05,26,13.1,1,Y
IDCJAC0011,086338,2017,05,27,11.9,1,Y
IDCJAC0011,086338,2017,05,28,10.2,1,Y
IDCJAC0011,086338,2017,05,29,7.7,1,Y
IDCJAC0011,086338,2017,05,30,9.3,1,Y
IDCJAC0011,086338,2017,05,31,6.7,1,Y
IDCJAC0011,086338,2017,06,01,7.9,1,Y
IDCJAC0011,086338,2017,06,02,8.0,1,Y
IDCJAC0011,086338,2017,06,03,9.9,1,Y
IDCJAC0011,086338,2017,06,04,4.4,1,Y
IDCJAC0011,086338,2017,06,05,5.6,1,Y
IDCJAC0011,086338,2017,06,06,8.7,1,Y
IDCJAC0011,086338,2017,06,07,5.9,1,Y
IDCJAC0011,086338,2017,06,08,3.6,1,Y
IDCJAC0011,086338,2017,06,09,6.6,1,Y
IDCJAC0011,086338,2017,06,10,7.0,1,Y
IDCJAC0011,086338,2017,06,11,3.4,1,Y
IDCJAC0011,086338,2017,06,12,6.0,1,Y
IDCJAC0011,086338,2017,06,13,8.8,1,Y
IDCJAC0011,086338,2017,06,14,4.0,1,Y
IDCJAC0011,086338,2017,06,15,7.7,1,Y
IDCJAC0011,086338,2017,06,16,6.6,1,Y
IDCJAC0011,086338,2017,06,17,4.2,1,Y
IDCJAC0011,086338,2017,06,18,5.4,1,Y
IDCJAC0011,086338,2017,06,19,7.1,1,Y
IDCJAC0011,086338,2017,06,20,6.4,1,Y
IDCJAC0011,086338,2017,06,21,7.8,1,Y
IDCJAC0011,086338,2017,06,22,6.7,1,Y
IDCJAC0011,086338,2017,06,23,7.4,1,Y
IDCJAC0011,086338,2017,06,24,8.3,1,Y
IDCJAC0011,086338,2017,06,25,8.6,1,Y
IDCJAC0011,086338,2017,06,26,8.8,1,Y
IDCJAC0011,086338,2017,06,27,6.0,1,Y
IDCJAC0011,086338,2017,06,28,6.8,1,Y
IDCJAC0011,086338,2017,06,29,9.2,1,Y
IDCJAC0011,086338,2017,06,30,7.1,1,Y
IDCJAC0011,086338,2017,07,01,1.1,1,N
IDCJAC0011,086338,2017,07,02,0.8,1,N
IDCJAC0011,086338,2017,07,03,3.8,1,N
IDCJAC0011,086338,2017,07,04,9.0,1,N
IDCJAC0011,086338,2017,07,05,10.1,1,N
IDCJAC0011,086338,2017,07,06,4.8,1,N
IDCJAC0011,086338,2017,07,07,8.0,1,N
IDCJAC0011,086338,2017,07,08,5.3,1,N
IDCJAC0011,086338,2017,07,09,7.3,1,N
IDCJAC0011,086338,2017,07,10,7.0,1,N
IDCJAC0011,086338,2017,07,11,6.9,1,N
IDCJAC0011,086338,2017,07,12,3.2,1,N
IDCJAC0011,086338,2017,07,13,4.8,1,N
IDCJAC0011,086338,2017,07,14,9.9,1,N
IDCJAC0011,086338,2017,07,15,4.5,1,N
IDCJAC0011,086338,2017,07,16,3.0,1,N
IDCJAC0011,086338,2017,07,17,5.7,1,N
IDCJAC0011,086338,2017,07,18,9.7,1,N
IDCJAC0011,086338,2017,07,19,8.9,1,N
IDCJAC0011,086338,2017,07,20,7.9,1,N
IDCJAC0011,086338,2017,07,21,3.3,1,N
IDCJAC0011,086338,2017,07,22,5.4,1,N
IDCJAC0011,086338,2017,07,23,8.4,1,N
IDCJAC0011,086338,2017,07,24,8.1,1,N
IDCJAC0011,086338,2017,07,25,9.8,1,N
IDCJAC0011,086338,2017,07,26,10.9,1,N
IDCJAC0011,086338,2017,07,27,4.4,1,N
IDCJAC0011,086338,2017,07,28,6.2,1,N
IDCJAC0011,086338,2017,07,29,9.7,1,N
IDCJAC0011,086338,2017,07,30,11.3,1,N
IDCJAC0011,086338,2017,07,31,6.7,1,N
IDCJAC0011,086338,2017,08,01,3.5,1,Y
IDCJAC0011,086338,2017,08,02,3.4,1,Y
IDCJAC0011,086338,2017,08,03,3.1,1,Y
IDCJAC0011,086338,2017,08,04,4.3,1,Y
IDCJAC0011,086338,2017,08,05,8.8,1,Y
IDCJAC0011,086338,2017,08,06,9.0,1,Y
IDCJAC0011,086338,2017,08,07,7.7,1,Y
IDCJAC0011,086338,2017,08,08,7.9,1,Y
IDCJAC0011,086338,2017,08,09,8.9,1,Y
IDCJAC0011,086338,2017,08,10,11.4,1,Y
IDCJAC0011,086338,2017,08,11,10.3,1,Y
IDCJAC0011,086338,2017,08,12,10.3,1,Y
IDCJAC0011,086338,2017,08,13,9.4,1,Y
