Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000+11:00,00:15:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
00:15:00.000+11:00,00:30:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
00:30:00.000+11:00,00:45:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
00:45:00.000+11:00,01:00:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
01:00:00.000+11:00,01:15:00.000+11:00,15.294269561767578,,-37.828643798828125,145.1835479736328,-37.828643798828125,145.1835479736328,,,,,,,,900000,
01:15:00.000+11:00,01:30:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
01:30:00.000+11:00,01:45:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
01:45:00.000+11:00,02:00:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
02:00:00.000+11:00,02:15:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
02:15:00.000+11:00,02:30:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
02:30:00.000+11:00,02:45:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
02:45:00.000+11:00,03:00:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
03:00:00.000+11:00,03:15:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
03:15:00.000+11:00,03:30:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
03:30:00.000+11:00,03:45:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
03:45:00.000+11:00,04:00:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
04:00:00.000+11:00,04:15:00.000+11:00,15.294269561767578,,-37.828697204589844,145.1835479736328,-37.828643798828125,145.18359375,,,,,,,,900000,
04:15:00.000+11:00,04:30:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
04:30:00.000+11:00,04:45:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
04:45:00.000+11:00,05:00:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
05:00:00.000+11:00,05:15:00.000+11:00,15.294269561767578,,-37.828651428222656,145.1835174560547,-37.8286247253418,145.18357849121094,,,,,,,,900000,
05:15:00.000+11:00,05:30:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
05:30:00.000+11:00,05:45:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
05:45:00.000+11:00,06:00:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
06:00:00.000+11:00,06:15:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
06:15:00.000+11:00,06:30:00.000+11:00,15.294269561767578,,,,,,,,,,,,,900000,
06:30:00.000+11:00,06:45:00.000+11:00,15.294269561767578,,,,,,,,,1,,,,900000,
06:45:00.000+11:00,07:00:00.000+11:00,15.294269561767578,,-37.82859802246094,145.18350219726562,-37.828369140625,145.1836395263672,3.013038158416748,3.013038158416748,3.013038158416748,24,,,,900000,
07:00:00.000+11:00,07:15:00.000+11:00,15.294269561767578,,-37.82875442504883,145.18328857421875,-37.828643798828125,145.1835479736328,,,,20,,,,805887,
07:15:00.000+11:00,07:30:00.000+11:00,17.247325897216797,12.453643798828125,-37.828651428222656,145.15835571289062,-37.788578033447266,145.18563842773438,15.060111045837402,20.05109977722168,1.095536470413208,39,,,,46807,38627
07:30:00.000+11:00,07:45:00.000+11:00,15.294268608093262,,-37.791114807128906,145.0163116455078,-37.780067443847656,145.14678955078125,14.410058975219727,28.7701416015625,0.5899999737739563,,,,,,
07:45:00.000+11:00,08:00:00.000+11:00,15.294268608093262,,-37.79579162597656,144.98028564453125,-37.792911529541016,145.0041046142578,3.5662996768951416,14.661364555358887,0.7930951714515686,,,,,,
08:00:00.000+11:00,08:15:00.000+11:00,15.294268608093262,,-37.81687927246094,144.96588134765625,-37.80189514160156,144.96910095214844,3.1873910427093506,9.460000038146973,0.5894064903259277,,,,,,
08:15:00.000+11:00,08:30:00.000+11:00,57.09062576293945,891.9437255859375,-37.816951751708984,144.96810913085938,-37.81294631958008,144.97560119628906,4.420408725738525,6.230128288269043,2.610689401626587,1210,,,,53511,805229
