Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000+10:00,00:15:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
00:15:00.000+10:00,00:30:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
00:30:00.000+10:00,00:45:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
00:45:00.000+10:00,01:00:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
01:00:00.000+10:00,01:15:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
01:15:00.000+10:00,01:30:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
01:30:00.000+10:00,01:45:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
01:45:00.000+10:00,02:00:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
02:00:00.000+10:00,02:15:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
02:15:00.000+10:00,02:30:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
02:30:00.000+10:00,02:45:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
02:45:00.000+10:00,03:00:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
03:00:00.000+10:00,03:15:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
03:15:00.000+10:00,03:30:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
03:30:00.000+10:00,03:45:00.000+10:00,15.294269561767578,,-37.82853698730469,145.18360900878906,-37.82852554321289,145.18368530273438,,,,,,,,900000,,
03:45:00.000+10:00,04:00:00.000+10:00,15.294269561767578,,-37.82866668701172,145.1836700439453,-37.82862091064453,145.18368530273438,,,,2,,,,900000,,
04:00:00.000+10:00,04:15:00.000+10:00,15.294269561767578,,-37.828704833984375,145.1835479736328,-37.8286247253418,145.18373107910156,,,,,,,,900000,,
04:15:00.000+10:00,04:30:00.000+10:00,15.294269561767578,,-37.8287239074707,145.18353271484375,-37.82860565185547,145.18370056152344,,,,,,,,900000,,
04:30:00.000+10:00,04:45:00.000+10:00,15.294269561767578,,-37.828731536865234,145.18362426757812,-37.828590393066406,145.18368530273438,,,,,,,,900000,,
04:45:00.000+10:00,05:00:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
05:00:00.000+10:00,05:15:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
05:15:00.000+10:00,05:30:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
05:30:00.000+10:00,05:45:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
05:45:00.000+10:00,06:00:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
06:00:00.000+10:00,06:15:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
06:15:00.000+10:00,06:30:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
06:30:00.000+10:00,06:45:00.000+10:00,15.294269561767578,,-37.828556060791016,145.18357849121094,-37.828556060791016,145.18357849121094,,,,,,,,900000,,
06:45:00.000+10:00,07:00:00.000+10:00,15.294269561767578,,,,,,,,,,,,,900000,,
07:00:00.000+10:00,07:15:00.000+10:00,15.294269561767578,,-37.82859802246094,145.18360900878906,-37.82859802246094,145.18360900878906,,,,3,,,,900000,,
07:15:00.000+10:00,07:30:00.000+10:00,15.294269561767578,,,,,,,,,27,,,,900000,,
07:30:00.000+10:00,07:45:00.000+10:00,15.294269561767578,,,,,,,,,3,,,,900000,,
07:45:00.000+10:00,08:00:00.000+10:00,15.294271469116211,,-37.82765579223633,145.1853790283203,-37.817344665527344,145.18582153320312,4.8914289474487305,7.970401287078857,1.8124569654464722,1,,,,61517,,
08:00:00.000+10:00,08:15:00.000+10:00,15.294270515441895,,-37.8041877746582,145.0316925048828,-37.780006408691406,145.1730499267578,23.85591697692871,30.050058364868164,3.119999885559082,,,,,,,
08:15:00.000+10:00,08:30:00.000+10:00,15.294270515441895,,-37.79572677612305,144.98562622070312,-37.79407501220703,144.9967041015625,2.4516525268554688,2.4516525268554688,2.4516525268554688,,,,,,,
08:30:00.000+10:00,08:45:00.000+10:00,15.294270515441895,,-37.806888580322266,144.96157836914062,-37.792442321777344,144.9747314453125,6.274226188659668,16.04603385925293,0.994082510471344,,,,,,,
08:45:00.000+10:00,09:00:00.000+10:00,38.88843536376953,628.1774291992188,-37.81768798828125,144.9662628173828,-37.808807373046875,144.97035217285156,1.3419030904769897,3.809999942779541,0.5199999809265137,715,,,,,466639,
09:00:00.000+10:00,09:15:00.000+10:00,43.56011199951172,575.3504638671875,-37.81486129760742,144.9732666015625,-37.812889099121094,144.97589111328125,2.965467929840088,2.965467929840088,2.965467929840088,770,,,,340965,559035,
09:15:00.000+10:00,09:30:00.000+10:00,15.294270515441895,,-37.812686920166016,144.9754180908203,-37.812686920166016,144.9754180908203,,,,33,,,,900000,,
09:30:00.000+10:00,09:45:00.000+10:00,15.294270515441895,,-37.81425476074219,144.97283935546875,-37.81219482421875,144.98245239257812,,,,28,,,,900000,,
09:45:00.000+10:00,10:00:00.000+10:00,15.294270515441895,,,,,,,,,,,,,900000,,
10:00:00.000+10:00,10:15:00.000+10:00,15.294270515441895,,-37.81291961669922,144.97549438476562,-37.81291961669922,144.97549438476562,,,,3,,,,900000,,
