Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000+11:00,00:15:00.000+11:00,34.33533477783203,283.9303894042969,,,,,,,,730,,,,40198,359119
00:15:00.000+11:00,00:30:00.000+11:00,41.991092681884766,400.411376953125,52.50469207763672,13.334672927856445,52.50469207763672,13.334672927856445,1.384377121925354,1.384377121925354,1.384377121925354,786,,,,,505105
00:30:00.000+11:00,00:45:00.000+11:00,17.884340286254883,24.33528709411621,52.50471878051758,13.33542251586914,52.50471878051758,13.33542251586914,,,,421,,,,200143,45417
00:45:00.000+11:00,01:00:00.000+11:00,37.9638786315918,285.6523132324219,,,,,,,,613,,,,176246,428311
01:00:00.000+11:00,01:15:00.000+11:00,15.502602577209473,,,,,,,,,27,,,,900000,
01:15:00.000+11:00,01:30:00.000+11:00,15.502602577209473,,,,,,,,,27,,,,900000,
01:30:00.000+11:00,01:45:00.000+11:00,25.611515045166016,162.481689453125,,,,,,,,508,,,,20852,192766
01:45:00.000+11:00,02:00:00.000+11:00,15.502603530883789,,,,,,,,,8,,,,838766,
02:00:00.000+11:00,02:15:00.000+11:00,41.836612701416016,301.2528381347656,,,,,,,,609,,,,265384,502159
02:15:00.000+11:00,02:30:00.000+11:00,15.502603530883789,,,,,,,,,36,,,,866203,
02:30:00.000+11:00,02:45:00.000+11:00,21.607192993164062,58.532127380371094,,,,,,,,369,,,,618571,116408
02:45:00.000+11:00,03:00:00.000+11:00,35.94500732421875,273.2823791503906,,,,,,,,634,,,,241484,389814
03:00:00.000+11:00,03:15:00.000+11:00,37.27570343017578,482.00433349609375,,,,,,,,728,,,,233084,415188
03:15:00.000+11:00,03:30:00.000+11:00,15.502602577209473,,52.50429153442383,13.332971572875977,52.50437545776367,13.333454132080078,,,,3,,,,521030,
03:30:00.000+11:00,03:45:00.000+11:00,15.502604484558105,,52.50429916381836,13.333041191101074,52.50429916381836,13.333137512207031,,,,1,,,,219963,
03:45:00.000+11:00,04:00:00.000+11:00,15.502602577209473,,52.50430679321289,13.333008766174316,52.504398345947266,13.33364200592041,,,,,,,,120968,
04:00:00.000+11:00,04:15:00.000+11:00,15.502603530883789,,52.50425338745117,13.33285903930664,52.504295349121094,13.333155632019043,,,,,,,,181755,
04:15:00.000+11:00,04:30:00.000+11:00,17.768444061279297,14.50223159790039,52.50419998168945,13.332791328430176,52.5048713684082,13.333624839782715,7.5378007888793945,17.57010269165039,0.6243396401405334,55,,,,470011,43207
04:30:00.000+11:00,04:45:00.000+11:00,15.502603530883789,,52.47960662841797,13.332159996032715,52.48625946044922,13.333995819091797,5.886884689331055,10.690228462219238,0.9600520730018616,26,,,,687282,
04:45:00.000+11:00,05:00:00.000+11:00,15.502602577209473,,,,,,,,,4,,,,900000,
05:00:00.000+11:00,05:15:00.000+11:00,15.502602577209473,,,,,,,,,1,,,,900000,
05:15:00.000+11:00,05:30:00.000+11:00,15.502602577209473,,,,,,,,,7,,,,900000,
05:30:00.000+11:00,05:45:00.000+11:00,15.502602577209473,,,,,,,,,3,,,,900000,
05:45:00.000+11:00,06:00:00.000+11:00,15.502602577209473,,,,,,,,,,,,,900000,
06:00:00.000+11:00,06:15:00.000+11:00,15.502602577209473,,,,,,,,,22,,,,900000,
06:15:00.000+11:00,06:30:00.000+11:00,15.502602577209473,,,,,,,,,37,,,,900000,
06:30:00.000+11:00,06:45:00.000+11:00,15.502602577209473,,,,,,,,,8,,,,900000,
06:45:00.000+11:00,07:00:00.000+11:00,15.502603530883789,,52.479393005371094,13.329607009887695,52.51552200317383,13.377219200134277,9.909910202026367,15.060163497924805,1.5400323867797852,47,,,,114016,
07:00:00.000+11:00,07:15:00.000+11:00,15.502603530883789,,52.51673889160156,13.388121604919434,52.528350830078125,13.402865409851074,6.003536224365234,11.461413383483887,0.6300793290138245,93,,,,395881,
07:15:00.000+11:00,07:30:00.000+11:00,15.502602577209473,,52.528263092041016,13.40263843536377,52.528602600097656,13.402887344360352,,,,,,,,900000,
07:30:00.000+11:00,07:45:00.000+11:00,15.502602577209473,,52.52832794189453,13.40263843536377,52.528602600097656,13.40284538269043,,,,,,,,900000,
07:45:00.000+11:00,08:00:00.000+11:00,15.502602577209473,,52.52810287475586,13.402752876281738,52.528587341308594,13.403071403503418,,,,1,,,,900000,
08:00:00.000+11:00,08:15:00.000+11:00,15.502602577209473,,52.528194427490234,13.40259838104248,52.52852249145508,13.402860641479492,,,,3,,,,900000,
08:15:00.000+11:00,08:30:00.000+11:00,15.502602577209473,,52.52816390991211,13.402594566345215,52.52845764160156,13.40295696258545,,,,3,,,,900000,
08:30:00.000+11:00,08:45:00.000+11:00,15.502602577209473,,52.528255462646484,13.402483940124512,52.528663635253906,13.403131484985352,,,,1,,,,900000,
08:45:00.000+11:00,09:00:00.000+11:00,15.502602577209473,,52.52812576293945,13.40263843536377,52.528602600097656,13.402862548828125,,,,,,,,900000,
09:00:00.000+11:00,09:15:00.000+11:00,15.502602577209473,,52.52817153930664,13.402752876281738,52.528480529785156,13.40305233001709,,,,1,,,,900000,
09:15:00.000+11:00,09:30:00.000+11:00,15.502602577209473,,52.528160095214844,13.402748107910156,52.52833557128906,13.402804374694824,,,,,,,,900000,
09:30:00.000+11:00,09:45:00.000+11:00,15.502602577209473,,52.528263092041016,13.402862548828125,52.5283203125,13.40301513671875,,,,1,,,,900000,
09:45:00.000+11:00,10:00:00.000+11:00,15.502602577209473,,52.52824783325195,13.402755737304688,52.52832794189453,13.402873992919922,,,,,,,,900000,
10:00:00.000+11:00,10:15:00.000+11:00,15.502602577209473,,52.52810287475586,13.402594566345215,52.52826690673828,13.402935981750488,,,,,,,,900000,
10:15:00.000+11:00,10:30:00.000+11:00,15.502602577209473,,52.528160095214844,13.402783393859863,52.5283203125,13.402862548828125,,,,,,,,900000,
10:30:00.000+11:00,10:45:00.000+11:00,15.502602577209473,,52.52810287475586,13.402697563171387,52.52817153930664,13.402935981750488,,,,,,,,900000,
10:45:00.000+11:00,11:00:00.000+11:00,15.502602577209473,,52.52806854248047,13.402786254882812,52.528289794921875,13.402935981750488,,,,,,,,900000,
11:00:00.000+11:00,11:15:00.000+11:00,15.502602577209473,,52.528160095214844,13.402783393859863,52.5283088684082,13.40297794342041,,,,,,,,900000,
11:15:00.000+11:00,11:30:00.000+11:00,15.502602577209473,,52.528263092041016,13.40278434753418,52.52827835083008,13.40301513671875,,,,,,,,900000,
11:30:00.000+11:00,11:45:00.000+11:00,15.502602577209473,,52.52810287475586,13.402776718139648,52.528316497802734,13.40301513671875,,,,,,,,900000,
11:45:00.000+11:00,12:00:00.000+11:00,15.502602577209473,,52.528160095214844,13.402783393859863,52.52830505371094,13.40305233001709,,,,,,,,900000,
12:00:00.000+11:00,12:15:00.000+11:00,15.502602577209473,,52.528133392333984,13.402783393859863,52.528236389160156,13.4030122756958,,,,,,,,900000,
12:15:00.000+11:00,12:30:00.000+11:00,15.502602577209473,,52.528160095214844,13.402783393859863,52.52824783325195,13.40303897857666,,,,,,,,900000,
12:30:00.000+11:00,12:45:00.000+11:00,15.502602577209473,,52.52812576293945,13.40270709991455,52.52834701538086,13.40301513671875,,,,,,,,900000,
12:45:00.000+11:00,13:00:00.000+11:00,15.502602577209473,,52.528263092041016,13.402786254882812,52.528289794921875,13.40301513671875,,,,,,,,900000,
13:00:00.000+11:00,13:15:00.000+11:00,15.502602577209473,,52.528263092041016,13.402786254882812,52.528289794921875,13.40301513671875,,,,,,,,900000,
13:15:00.000+11:00,13:30:00.000+11:00,15.502602577209473,,52.52810287475586,13.402783393859863,52.528350830078125,13.402935981750488,,,,,,,,900000,
13:30:00.000+11:00,13:45:00.000+11:00,15.502602577209473,,52.52815628051758,13.402783393859863,52.528377532958984,13.403131484985352,,,,1,,,,900000,
13:45:00.000+11:00,14:00:00.000+11:00,15.502603530883789,,52.52812576293945,13.402519226074219,52.528377532958984,13.402937889099121,,,,85,,,,827419,
14:00:00.000+11:00,14:15:00.000+11:00,15.502603530883789,,52.52750015258789,13.350540161132812,52.543617248535156,13.40300178527832,13.313960075378418,18.0400447845459,8.680000305175781,15,,,,,
14:15:00.000+11:00,14:30:00.000+11:00,33.71534729003906,246.6327362060547,52.54780197143555,13.289677619934082,52.55512619018555,13.30572509765625,9.005049705505371,14.350000381469727,4.940253257751465,519,,,,314965,347296
14:30:00.000+11:00,14:45:00.000+11:00,31.807098388671875,324.6915283203125,,,,,,,,648,,,,589092,310908
14:45:00.000+11:00,15:00:00.000+11:00,20.507518768310547,32.09856414794922,52.553993225097656,13.29107666015625,52.55415725708008,13.291376113891602,,,,52,,,,750769,95438
15:00:00.000+11:00,15:15:00.000+11:00,24.602943420410156,163.9927978515625,52.55282974243164,13.291028022766113,52.55452346801758,13.293174743652344,1.4202088117599487,3.4000589847564697,0.6612110137939453,345,,,,726467,173533
15:15:00.000+11:00,15:30:00.000+11:00,27.199542999267578,157.41453552246094,,,,,,,,252,,,,676952,223048
15:30:00.000+11:00,15:45:00.000+11:00,24.38384246826172,69.74040985107422,,,,,,,,179,,,,703653,169355
15:45:00.000+11:00,16:00:00.000+11:00,15.502603530883789,,,,,,,,,40,,,,900000,
16:00:00.000+11:00,16:15:00.000+11:00,26.819660186767578,224.8477783203125,,,,,,,,388,,,,684196,215804
16:15:00.000+11:00,16:30:00.000+11:00,17.65380859375,14.321690559387207,52.555335998535156,13.28925609588623,52.555335998535156,13.28925609588623,2.0315756797790527,2.0315756797790527,2.0315756797790527,94,,,,647756,41021
16:30:00.000+11:00,16:45:00.000+11:00,15.502602577209473,,,,,,,,,,,,,,
16:45:00.000+11:00,17:00:00.000+11:00,15.502602577209473,,,,,,,,,,,,,,
