Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2016-04-06,713.619140625,,,,,,,,,,,,,,,,
2016-04-07,1478.25,,,,,,,,,,,,,,,,
2016-04-08,1478.25,,,,,,,,,,,,,,,,
2016-04-09,1478.25,,,,,,,,,,,,,,,,
2016-04-10,1478.25,,,,,,,,,,,,,,,,
2016-04-11,1478.25,,,,,,,,,,,,,,,,
2016-04-12,1478.25,,,,,,,,,,,,,,,,
2016-04-13,1655.69677734375,3308.494384765625,-37.82875442504883,144.94125366210938,-37.808074951171875,145.18411254882812,2.505059003829956,22.31007957458496,0.5099020004272461,5283,65.0,65.0,65.0,,35265414,3445450,
2016-04-14,1610.3970947265625,1937.5379638671875,-37.91313171386719,145.1406707763672,-37.81521987915039,145.184326171875,3.0533690452575684,20.98000144958496,0.5400926470756531,3794,,,,,78836406,2565875,
2016-04-15,2083.988037109375,9061.7333984375,-37.83222579956055,144.93626403808594,-37.779815673828125,145.18682861328125,1.5708614587783813,29.19008445739746,0.5,16285,,,,,65086988,11761510,
2016-04-16,1630.8179931640625,2553.65185546875,-37.83073425292969,144.9551239013672,-37.77998352050781,145.1884765625,6.683364391326904,27.840045928955078,0.5,4199,,,,,72055856,2962221,
2016-04-17,1545.291015625,1021.3327026367188,-37.82919692993164,144.96063232421875,-37.73932647705078,145.19493103027344,4.234282970428467,28.480213165283203,0.511957049369812,2268,,,,,77095067,1301726,
2016-04-18,1628.6220703125,2188.735107421875,-37.91313171386719,145.13900756835938,-37.81767272949219,145.18572998046875,3.8026130199432373,64.0301513671875,0.8360024094581604,4332,,,,,77608079,2545085,163075
2016-04-19,1687.8570556640625,3984.392333984375,-37.91656494140625,145.1322784423828,-37.8178825378418,145.18675231933594,4.110997200012207,17.68004608154297,0.5099999904632568,6638,,,,,72963183,4069901,
2016-04-20,1630.7628173828125,1958.1861572265625,-37.82895278930664,144.898681640625,-37.796669006347656,145.18394470214844,2.3360207080841064,20.65999984741211,0.5199999809265137,4115,,,,,75243176,2961312,
2016-04-21,1813.426025390625,5331.58056640625,-37.89023971557617,144.89427185058594,-37.782005310058594,145.18667602539062,3.8892080783843994,26.04001808166504,0.5001000165939331,9042,,,,,64261443,6458096,
2016-04-22,1657.73388671875,2721.209228515625,-37.91019821166992,145.14125061035156,-37.8167724609375,145.1953125,4.484785556793213,16.72431755065918,0.5299999713897705,4545,,,,,75013180,2739905,266663
2016-04-23,1782.479736328125,4075.10302734375,-37.877197265625,144.95730590820312,-37.790977478027344,145.18707275390625,3.15323543548584,16.058822631835938,0.5015974640846252,7930,,,,,73235231,5510562,172654
2016-04-24,1792.7998046875,4377.37646484375,-39.03387451171875,145.1696014404297,-37.813446044921875,146.33334350585938,8.508713722229004,29.15999984741211,0.5000999569892883,8574,,,,,44216527,5836531,117325
2016-04-25,1485.59130859375,13.69900894165039,-37.83015823364258,145.1802978515625,-37.81636047363281,145.19325256347656,2.955240249633789,17.1401424407959,0.5048762559890747,399,,,,,84095662,142546,
2016-04-26,1894.046875,7025.26904296875,-37.8286247253418,144.84445190429688,-33.86683654785156,151.24057006835938,3.6494312286376953,31.780025482177734,0.5099999904632568,11323,,,,,62110494,7675141,169054
2016-04-27,1916.4505615234375,7048.78759765625,-33.879051208496094,151.20346069335938,-33.86741256713867,151.2086944580078,1.65364408493042,5.611933708190918,0.6403124332427979,12583,,,,,75101619,8508464,
2016-04-28,1863.142333984375,5667.00927734375,-33.877132415771484,151.204833984375,-33.867645263671875,151.20957946777344,1.4933772087097168,3.0800647735595703,0.5500909090042114,10494,,,,,76794454,7473385,
2016-04-29,1745.5211181640625,3907.962890625,-37.829124450683594,144.84628295898438,-33.85711669921875,151.31442260742188,3.8428688049316406,28.870086669921875,0.5,6576,,,,,66575243,5189563,
2016-04-30,1527.779296875,832.5016479492188,-37.82927322387695,145.1195068359375,-37.785972595214844,145.18707275390625,3.5191593170166016,22.770219802856445,0.551089882850647,2114,,,,,78348589,961704,
2016-05-01,1492.8607177734375,93.40892791748047,-37.83028030395508,145.1824493408203,-37.82819747924805,145.18447875976562,1.2483720779418945,1.7000294923782349,1.1031773090362549,892,,,,,85014061,283693,
2016-05-02,1739.9178466796875,4254.6884765625,-37.84675216674805,144.9479522705078,-37.81033706665039,145.18833923339844,2.7517642974853516,17.260026931762695,0.5199999809265137,7084,,,,,69985308,4674287,162005
2016-05-03,1570.2718505859375,1428.8968505859375,-37.836185455322266,144.843994140625,-37.66854476928711,145.18707275390625,4.668450355529785,19.470163345336914,0.550000011920929,3758,,,,,75888706,1762511,
2016-05-04,2030.177978515625,8488.669921875,13.693178176879883,100.51666259765625,13.765312194824219,100.75914764404297,3.74668025970459,27.07713508605957,0.5,16002,,,,,63704957,10716688,
2016-05-05,1715.3486328125,3175.942626953125,13.718814849853516,100.51995849609375,13.762435913085938,100.57571411132812,2.9195337295532227,21.59000015258789,0.5,7032,,,,,71632241,4603707,
2016-05-06,1745.302490234375,3952.59423828125,13.718804359436035,100.52064514160156,13.746438026428223,100.54972839355469,2.386927843093872,17.230567932128906,0.5,7828,,,,,72720720,5185312,
2016-05-07,1810.57080078125,4543.2392578125,7.806004047393799,98.30523681640625,13.927837371826172,100.61279296875,3.181913375854492,26.790477752685547,0.5000999569892883,9078,,,,,56612058,6452616,
2016-05-08,1825.496337890625,4259.607421875,7.738360404968262,98.37248229980469,7.808130264282227,98.41224670410156,2.115813970565796,5.979297637939453,0.5813776254653931,9342,,,,,69776755,6742428,
2016-05-09,1789.78564453125,4535.6083984375,7.806220531463623,98.28978729248047,7.906627655029297,98.41040802001953,2.9443740844726562,12.890140533447266,0.5001000165939331,8616,,,,329664,66706454,5696249,
