Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms)
11:45:00.000+11:00,12:00:00.000+11:00,15.294270515441895,,-37.828800201416016,145.18365478515625,-37.82866287231445,145.1837158203125,,,,1,,,,900000
12:00:00.000+11:00,12:15:00.000+11:00,15.294270515441895,,,,,,,,,8,65.0,65.0,65.0,900000
12:15:00.000+11:00,12:30:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
12:30:00.000+11:00,12:45:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
12:45:00.000+11:00,13:00:00.000+11:00,15.294270515441895,,-37.82887268066406,145.18365478515625,-37.82866287231445,145.18374633789062,,,,6,,,,900000
13:00:00.000+11:00,13:15:00.000+11:00,15.294270515441895,,-37.828826904296875,145.18370056152344,-37.828758239746094,145.18373107910156,,,,2,,,,900000
13:15:00.000+11:00,13:30:00.000+11:00,15.294270515441895,,-37.828758239746094,145.1836395263672,-37.828636169433594,145.18370056152344,,,,8,,,,900000
13:30:00.000+11:00,13:45:00.000+11:00,15.294270515441895,,-37.828758239746094,145.18370056152344,-37.828758239746094,145.18370056152344,,,,12,,,,900000
13:45:00.000+11:00,14:00:00.000+11:00,15.294270515441895,,-37.828758239746094,145.18370056152344,-37.82870864868164,145.183837890625,,,,,,,,900000
14:00:00.000+11:00,14:15:00.000+11:00,15.294270515441895,,-37.82875442504883,145.1836700439453,-37.82868957519531,145.18370056152344,,,,1,,,,900000
14:15:00.000+11:00,14:30:00.000+11:00,15.294270515441895,,-37.82863998413086,145.18365478515625,-37.82863998413086,145.18365478515625,,,,3,,,,900000
14:30:00.000+11:00,14:45:00.000+11:00,15.294270515441895,,-37.82876205444336,145.18365478515625,-37.82863998413086,145.18370056152344,,,,7,,,,900000
14:45:00.000+11:00,15:00:00.000+11:00,15.294270515441895,,-37.828758239746094,145.1836700439453,-37.82868957519531,145.18370056152344,,,,3,,,,900000
15:00:00.000+11:00,15:15:00.000+11:00,15.294270515441895,,-37.82863235473633,145.1836395263672,-37.82863235473633,145.1836395263672,,,,1,,,,900000
15:15:00.000+11:00,15:30:00.000+11:00,15.294270515441895,,-37.82882308959961,145.18373107910156,-37.82882308959961,145.18373107910156,,,,,,,,900000
15:30:00.000+11:00,15:45:00.000+11:00,15.294270515441895,,-37.8286247253418,145.1836395263672,-37.8286247253418,145.1836395263672,,,,7,,,,900000
15:45:00.000+11:00,16:00:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
16:00:00.000+11:00,16:15:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
16:15:00.000+11:00,16:30:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
16:30:00.000+11:00,16:45:00.000+11:00,15.294270515441895,,,,,,,,,2,,,,900000
16:45:00.000+11:00,17:00:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
17:00:00.000+11:00,17:15:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
17:15:00.000+11:00,17:30:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
17:30:00.000+11:00,17:45:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
17:45:00.000+11:00,18:00:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
18:00:00.000+11:00,18:15:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
18:15:00.000+11:00,18:30:00.000+11:00,15.294270515441895,,,,,,,,,,,,,900000
