Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms)
10:45:00.000+10:00,11:00:00.000+10:00,15.294270515441895,,,,,,,,,,,,,,900000,
11:00:00.000+10:00,11:15:00.000+10:00,15.294270515441895,,-37.81299591064453,144.97543334960938,-37.81293487548828,144.97560119628906,,,,84,,,,,900000,
11:15:00.000+10:00,11:30:00.000+10:00,15.294270515441895,,,,,,,,,,,,,,900000,
11:30:00.000+10:00,11:45:00.000+10:00,15.294270515441895,,-37.81219482421875,144.97421264648438,-37.81219482421875,144.97421264648438,,,,29,,,,,666993,
11:45:00.000+10:00,12:00:00.000+10:00,15.294269561767578,,,,,,,,,1,,,,,796643,
12:00:00.000+10:00,12:15:00.000+10:00,15.294270515441895,,-37.81293869018555,144.9754180908203,-37.81293869018555,144.9754180908203,,,,1,,,,,767585,
12:15:00.000+10:00,12:30:00.000+10:00,28.800674438476562,281.8826904296875,-37.81371307373047,144.973388671875,-37.81219482421875,144.9754180908203,5.015854835510254,5.015854835510254,5.015854835510254,450,,,,,622525,267126
12:30:00.000+10:00,12:45:00.000+10:00,46.21693420410156,444.93121337890625,-37.81328201293945,144.97225952148438,-37.812522888183594,144.97305297851562,,,,1053,,,,,233464,611580
12:45:00.000+10:00,13:00:00.000+10:00,19.94445037841797,91.13372802734375,-37.81313705444336,144.9753875732422,-37.81267547607422,144.9759063720703,,,,101,,,,,808030,91970
13:00:00.000+10:00,13:15:00.000+10:00,15.294270515441895,,-37.81346130371094,144.97528076171875,-37.80876159667969,144.97833251953125,,,,54,,,,,900000,
13:15:00.000+10:00,13:30:00.000+10:00,19.500720977783203,36.987274169921875,-37.81298828125,144.9754180908203,-37.812896728515625,144.97586059570312,,,,94,,,,,816806,83194
13:30:00.000+10:00,13:45:00.000+10:00,15.294270515441895,,,,,,,,,,,,,,900000,
13:45:00.000+10:00,14:00:00.000+10:00,15.294270515441895,,,,,,,,,,,,,,900000,
14:00:00.000+10:00,14:15:00.000+10:00,15.294270515441895,,,,,,,,,,,,,,900000,
14:15:00.000+10:00,14:30:00.000+10:00,15.294270515441895,,,,,,,,,,,,,,900000,
14:30:00.000+10:00,14:45:00.000+10:00,15.294270515441895,,,,,,,,,,,,,,900000,
14:45:00.000+10:00,15:00:00.000+10:00,17.105398178100586,3.1134109497070312,-37.813568115234375,144.97283935546875,-37.81150817871094,144.97695922851562,,,,13,,,,,671229,35820
15:00:00.000+10:00,15:15:00.000+10:00,15.294270515441895,,-37.81293869018555,144.9754180908203,-37.81293869018555,144.9754180908203,,,,27,,,,,868505,
15:15:00.000+10:00,15:30:00.000+10:00,15.294271469116211,,,,,,,,,,,,,,388899,
15:30:00.000+10:00,15:45:00.000+10:00,15.294270515441895,,,,,,,,,6,,,,,,
15:45:00.000+10:00,16:00:00.000+10:00,19.381139755249023,34.247520446777344,-37.812931060791016,144.97569274902344,-37.812931060791016,144.97569274902344,,,,137,,,,,376233,80829
16:00:00.000+10:00,16:15:00.000+10:00,15.294269561767578,,-37.81293487548828,144.97543334960938,-37.812923431396484,144.97557067871094,,,,64,,,,,900000,
16:15:00.000+10:00,16:30:00.000+10:00,15.294269561767578,,,,,,,,,,,,,,900000,
16:30:00.000+10:00,16:45:00.000+10:00,15.294269561767578,,,,,,,,,2,,,,,900000,
16:45:00.000+10:00,17:00:00.000+10:00,15.294269561767578,,,,,,,,,1,,,,,900000,
17:00:00.000+10:00,17:15:00.000+10:00,15.294270515441895,,-37.81283187866211,144.97283935546875,-37.81219482421875,144.9757080078125,,,,26,,,,,583910,
17:15:00.000+10:00,17:30:00.000+10:00,15.294271469116211,,-37.81293869018555,144.9754180908203,-37.81293869018555,144.9754180908203,,,,39,,,,,900000,
